name,index,radii,lat,lon
東京都江東区,0,"[3.9999999999997624, 0.22860991501589445, 0.0922450714705713, 0.4601929997838038, 0.25950801025986103, 0.2451914214020797, 0.3819162003766671, 0.44080199794079616, 0.6588861054424262, 1.1290868169396358, 3.2194691182861708, 0.23629324279116384, 0.06833460854738364, 0.2610496577462061, 0.37118727403051616, 0.23703739453327427, 0.3212159233831371, 0.5864527401493549, 0.8103382503012885, 1.4990824313113946, 4.0, 0.2286099150159272, 0.09224507147072752, 0.4601929997836681, 0.25950801025976933, 0.2451914214018233, 0.3819162003756443, 0.44080199794102815, 0.658886105442611, 1.1290868169402908, 3.2194691182854838, 0.23629324279103986, 0.06833460854747553, 0.26104965774614725, 0.37118727403045465, 0.2370373945330131, 0.3212159233815831, 0.5864527401498105, 0.8103382503021542, 1.4990824313117463]",35.66584723907598,139.81962984736444
東京都墨田区,1,"[3.9984034450273387, 0.49066367418292606, 0.44985057798125694, 0.435629264605648, 0.3757646357411479, 0.36312737943135875, 0.3402209000883769, 0.5719089883526356, 0.9709500504649059, 0.968556676129256, 3.2390131652287635, 0.371032418645171, 0.3706587960804858, 0.3516556377764673, 0.39939513146885625, 0.4286928769458054, 0.3816426318793496, 0.6226789323922343, 1.2414822291369245, 1.3216941337513906, 4.0, 0.4929093580563587, 0.4515913561087703, 0.4358106855611166, 0.3809397687182851, 0.36843375157533054, 0.3425472717784644, 0.5755656450893942, 0.9733410326328235, 0.968906390105103, 3.240290298923099, 0.37301490486826366, 0.37245157666714074, 0.35209283453522716, 0.4036620745796629, 0.4330388365523022, 0.3846561513926324, 0.6266193769362799, 1.24402513602642, 1.3218390481811493]",35.712210887638676,139.81547308474353
東京都足立区,2,"[3.3666150395041887, 1.483012437090925, 0.6747523751506695, 0.4776430468095366, 0.3258835246051263, 0.23884847031897719, 0.3285649018980124, 0.5616405271631633, 1.0916358584712935, 3.005482094285633, 2.5818924366949783, 1.1356322627215634, 0.6184027720408114, 0.3989898864616944, 0.36346374584405744, 0.2660998226670443, 0.3367173058546054, 0.6454234028752446, 1.4106597098777836, 4.0, 3.3666150395042806, 1.483012437090936, 0.674752375151228, 0.4776430468105018, 0.3258835246054622, 0.2388484703190722, 0.32856490189857274, 0.5616405271631869, 1.0916358584713788, 3.005482094286266, 2.5818924366946208, 1.1356322627215494, 0.618402772040893, 0.3989898864623016, 0.36346374584428415, 0.266099822667108, 0.33671730585549153, 0.6454234028753792, 1.4106597098781364, 3.999999999999965]",35.7788080084151,139.79508294953465
東京都台東区,3,"[1.5749892537235257, 0.3902083242445255, 0.3705669371008821, 0.6807967374849866, 0.44224342762879515, 0.4216720218277631, 0.5975666600281352, 0.9939237044466656, 2.129131030562006, 2.889387143911132, 1.2241840617964448, 0.2914261840027623, 0.27522477606444057, 0.4719975018220331, 0.5327808907147749, 0.511663034632933, 0.5865873645335798, 1.2129121673406853, 2.4769694206926185, 3.9972250282332173, 1.5747112321580259, 0.3895168235469592, 0.37122648577794776, 0.6811067110687181, 0.44224342762979246, 0.4216720218282438, 0.5975666600260124, 0.9936114377593093, 2.1263330290475095, 2.8924974121129385, 1.2239757752027023, 0.2911578460581791, 0.27570140060193293, 0.4719975018199806, 0.5327808907156399, 0.5116630346336095, 0.5856840658752873, 1.2136912231307246, 2.4743186917845095, 4.0]",35.71548266035394,139.78598118207842
東京都荒川区,4,"[3.0902635281219437, 0.7681986196233354, 0.4232361896486356, 0.3765665854947224, 0.34322001929516455, 0.5543753813995713, 0.6473915877759714, 0.9530373486148328, 1.5350254484956725, 3.0832054619223106, 2.4514484005813983, 0.5894540233463923, 0.3969072289475336, 0.3284510103328705, 0.3351874453130963, 0.45932427657810454, 0.727990136223064, 1.1064279913430304, 1.9485074060822802, 3.9999056307797667, 3.0902635281220197, 0.7678743509155402, 0.4235604583575175, 0.37656658549404026, 0.3432200192943012, 0.554375381397473, 0.646917319683132, 0.9535116167070934, 1.534674423584839, 3.0835564868303957, 2.4511832060510277, 0.5895836141685663, 0.39704283265777257, 0.3284510103326097, 0.3350715617549845, 0.45944016013283207, 0.7274936682713837, 1.1069244592928134, 1.9484130368592627, 4.0]",35.73993176078338,139.7812909215683
東京都練馬区,5,"[4.0, 2.1916162716259535, 0.9279373645140929, 0.49210897915280055, 0.32845833233038596, 0.3107599128719181, 0.38412976692659606, 0.5991655030791205, 0.9475553233897853, 1.786600547613772, 2.8842536186833674, 1.7450617497154688, 0.7875523861381178, 0.4457762487891283, 0.31383343362900173, 0.3190185802423464, 0.4250915163088841, 0.7154350546492299, 1.2376606791863414, 2.414397393180324, 3.9999999999998574, 2.191616271625954, 0.927937364514116, 0.49152640240378714, 0.32904090907897104, 0.31075991287092125, 0.38412976692679046, 0.5991655030791943, 0.9475553233903562, 1.7866005476132196, 2.8840682237034776, 1.745247144695643, 0.7875523861383498, 0.445776248789179, 0.3138334336286501, 0.3190185802411672, 0.42503051992360635, 0.7154960510351547, 1.23766067918683, 2.41439739317954]",35.74784908826961,139.61767169669028
東京都葛飾区,6,"[3.9999999999994014, 1.9801242994150021, 0.9889137560533885, 0.8487486852749281, 0.47778980324872466, 0.46988183031739755, 0.46411874980124446, 0.6336327564461279, 0.9551546054382138, 1.6112476421771575, 2.9946253422674403, 1.6490778350867963, 0.7996618707589519, 0.7290232572169296, 0.5529732817038937, 0.47259944800398734, 0.5537817028701504, 0.7652672670341468, 1.216248717301752, 2.0919410559499543, 4.0, 1.9801242994148405, 0.9889137560533584, 0.8487486852729376, 0.47778980325074133, 0.4698818303160114, 0.4641187498014276, 0.633632756445859, 0.9551546054389884, 1.611247642177041, 2.994625342266742, 1.6490778350866184, 0.799661870758276, 0.7290232572157085, 0.552973281705708, 0.4725994480023304, 0.5537817028702409, 0.7652672670337362, 1.2162487173020906, 2.0919410559494627]",35.75324837779696,139.85567120332647
東京都中野区,7,"[3.99999999999972, 1.9895403574333894, 1.0334296327918993, 0.5470556503744531, 0.41097881207843456, 0.3908117383468396, 0.6048714508940202, 1.0159022195066816, 1.6527141903033529, 2.94995555033673, 3.092733574031068, 1.586842247327851, 0.8888707563239214, 0.5290684569159126, 0.405378740921528, 0.3916688422164029, 0.6297445407981471, 1.1196138430885372, 2.0485008953646586, 3.919887963661502, 4.0, 1.9895403574337789, 1.033429632792659, 0.5470556503748433, 0.41097881207890574, 0.39081173834576327, 0.6048714508953752, 1.0159022195074674, 1.6527141903019125, 2.9499555503374895, 3.0927335740295243, 1.5868422473282664, 0.8888707563252917, 0.5290684569161241, 0.40537874092204634, 0.3916688422150002, 0.6297445408004937, 1.1196138430897833, 2.048360034311928, 3.9200288247113813]",35.710918526910966,139.66247597624883
東京都千代田区,8,"[1.5751525613290707, 2.602358257082526, 2.546730518409112, 1.014077718536246, 0.607812798985494, 0.5299545383373507, 0.46581517552571094, 1.0964939243259502, 1.1830360074028154, 3.0281079183719246, 1.2594856421478793, 1.7004922824886524, 2.383712355716956, 1.0982032973161493, 0.5217606719505927, 0.6068645536197702, 0.44881899685546484, 1.010720558147774, 1.2022526020573625, 3.9990693927008123, 1.5708565458238408, 2.6066542725867317, 2.5444551092551966, 1.0163531276917104, 0.6078127989889333, 0.5299545383371244, 0.4647403461492729, 1.0960413001430434, 1.1845634609638953, 3.028107918372132, 1.2570411648337692, 1.7029367598027725, 2.380117454097079, 1.1009754070846631, 0.5225834638057117, 0.6068645536199625, 0.44881899685733495, 1.0086363798558367, 1.2034061730478398, 4.0]",35.68759537084429,139.75487812275887
東京都新宿区,9,"[2.8231468441267027, 1.3733270965657514, 0.9187895990072908, 0.6032382032500203, 0.4980382765765932, 0.5611801898682466, 0.8962670662782634, 1.4534649383641303, 2.2548916164271637, 2.956283828636864, 2.2186865953939767, 1.1017928100202619, 0.7792864345286796, 0.6004021287574682, 0.4562030640533641, 0.5322597353827759, 0.8412297465544616, 1.5868632951306931, 2.63745969496945, 4.0, 2.823146844127027, 1.3724471935656783, 0.919669502007864, 0.6028656469969563, 0.49841083282750115, 0.5609891636712618, 0.8964580924764816, 1.4534649383652862, 2.2548916164267654, 2.9562838286369333, 2.2186865953935944, 1.1008429244734652, 0.7802363200758223, 0.5999930462924867, 0.4566121465167696, 0.5315804138324414, 0.8419090681061868, 1.5868632951331747, 2.637459694968653, 3.999999999999176]",35.70107117002888,139.7089732914146
